-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           experiment/generation_sample         0.00%       0.000us         0.00%       0.000us       0.000us        1.125s       223.55%        1.125s        1.125s             1  
                                               aten::mm         3.61%      40.671ms         5.92%      66.732ms      21.499us     179.490ms        35.66%     179.496ms      57.827us          3104  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     135.998ms        27.02%     135.998ms       1.133ms           120  
                     aten::_efficient_attention_forward         0.48%       5.358ms         1.46%      16.453ms      21.423us      95.397ms        18.95%      95.488ms     124.333us           768  
fmha_cutlassF_bf16_aligned_64x64_rf_sm80(PyTorchMemE...         0.00%       0.000us         0.00%       0.000us       0.000us      95.397ms        18.95%      95.397ms     124.215us           768  
                                            aten::copy_         2.07%      23.346ms         5.67%      63.895ms      10.813us      88.557ms        17.59%      88.600ms      14.994us          5909  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      70.209ms        13.95%      70.209ms      31.798us          2208  
                                              aten::mul         3.88%      43.759ms         7.42%      83.649ms      11.722us      39.893ms         7.93%      39.893ms       5.590us          7136  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      23.499ms         4.67%      23.499ms      15.792us          1488  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      21.397ms         4.25%      21.397ms       9.587us          2232  
                                            aten::addmm         2.69%      30.327ms         4.74%      53.468ms      23.207us      20.853ms         4.14%      20.853ms       9.051us          2304  
                                              aten::cat         1.88%      21.209ms         3.60%      40.558ms      12.675us      18.051ms         3.59%      18.051ms       5.641us          3200  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.739ms         3.13%      15.739ms      20.494us           768  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      13.364ms         2.65%      13.364ms     167.046us            80  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.302ms         2.64%      13.302ms       2.867us          4640  
                                             aten::silu         0.47%       5.310ms         0.92%      10.427ms      13.576us      11.914ms         2.37%      11.914ms      15.514us           768  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.914ms         2.37%      11.914ms      15.514us           768  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      11.550ms         2.29%      11.550ms       7.762us          1488  
