-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               experiment/update_replay         0.00%       0.000us         0.00%       0.000us       0.000us        3.267s        81.91%        3.267s        3.267s             1  
                                               aten::mm         1.48%      97.749ms         2.51%     165.061ms      32.854us        2.144s        53.77%        2.144s     426.832us          5024  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us        1.202s        30.13%        1.202s     444.463us          2704  
                         grpo/old_or_reference_logprobs         0.00%       0.000us         0.00%       0.000us       0.000us     945.145ms        23.70%     945.145ms     945.145ms             1  
                                 grpo/forward_with_grad         0.00%       0.000us         0.00%       0.000us       0.000us     899.369ms        22.55%     899.369ms     112.421ms             8  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     455.834ms        11.43%     455.834ms     780.538us           584  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     350.939ms         8.80%     350.939ms     365.561us           960  
                                            aten::copy_         0.49%      32.214ms         6.62%     436.467ms      64.300us     321.711ms         8.07%     321.711ms      47.394us          6788  
                                              aten::mul         1.46%      95.879ms         8.11%     534.480ms      55.663us     309.856ms         7.77%     309.856ms      32.270us          9602  
                                     aten::_log_softmax         0.00%     192.843us         0.01%     333.387us      20.837us     229.293ms         5.75%     229.293ms      14.331ms            16  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     229.293ms         5.75%     229.293ms      14.331ms            16  
                    aten::_efficient_attention_backward         0.05%       3.305ms         0.43%      28.437ms     148.110us     215.149ms         5.39%     217.208ms       1.131ms           192  
fmha_cutlassB_bf16_aligned_64x64_k64_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us     215.149ms         5.39%     215.149ms       1.121ms           192  
                     aten::_efficient_attention_forward         0.08%       5.003ms         0.29%      18.950ms      32.899us     202.436ms         5.08%     202.436ms     351.452us           576  
fmha_cutlassF_bf16_aligned_64x64_rf_sm80(PyTorchMemE...         0.00%       0.000us         0.00%       0.000us       0.000us     202.436ms         5.08%     202.436ms     351.452us           576  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     194.159ms         4.87%     194.159ms     143.609us          1352  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     131.638ms         3.30%     131.638ms      16.455ms             8  
